"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"85",85,15,0,0.9,0.00446428571428571,0.004599122443,0.004550301554,0.004688314933,0.000549784394,0,1.116160836,1.146,0.119,1.135
"86",86,20,0,0.9,0.00446428571428571,0.004402206802,0.004236620817,0.004326175372,0.00052236454,0,1.115746063,1.08,0.112,1.071
"87",87,25,0,0.9,0.00446428571428571,0.004652852009,0.004582601688,0.00449320172,0.00058396338,0,1.116031167,1.144,0.125,1.131
"88",88,30,0,0.9,0.00446428571428571,0.004405529146,0.004330581387,0.004375034214,0.000462036085,0,1.115688973,1.041,0.098,1.037
"89",89,0,0,1,0.00446428571428571,0.004542377714,0.00422014379,0.004285339361,0.2981005779,0.4997250445,49.63441195,62.57,62.099,62.566
"90",90,1,0,1,0.00446428571428571,0.004535322721,0.004562374704,0.004371038022,0.002893113967,0.004380929093,1.481773746,1.583,0.613,1.574
"91",91,5,0,1,0.00446428571428571,0.004624212272,0.00457316384,0.00459456299,9.654756e-06,8.552632e-06,1.008160627,1.023,0.002,1.014
"92",92,10,0,1,0.00446428571428571,0.004490678932,0.00445809501,0.004511485631,0,0,1.004550633,0.969,0,0.964
"93",93,15,0,1,0.00446428571428571,0.004401810746,0.004418961813,0.00461895425,0,0,1.004498586,0.962,0,0.955
"94",94,20,0,1,0.00446428571428571,0.004520030229,0.004605115018,0.004670572091,0,0,1.004544732,0.966,0,0.956
"95",95,25,0,1,0.00446428571428571,0.004480427093,0.00455907433,0.004949911261,0,0,1.004367035,0.932,0,0.92
"96",96,30,0,1,0.00446428571428571,0.004434659876,0.004540578353,0.004357188062,0,0,1.004527621,0.967,0,0.962
"97",97,0,0,0.5,0.00892857142857143,0.008982901862,0.008929730824,0.009209811167,0.008682059476,0.5003736124,1.996668556,3.707,1.853,3.666
"98",98,1,0,0.5,0.00892857142857143,0.00878266569,0.008911280029,0.00840666745,0.008593854713,0.008370492305,2.002587252,3.692,1.833,3.639
"99",99,5,0,0.5,0.00892857142857143,0.008958348313,0.009047266589,0.00890617344,0.0089186239,2.9343535e-05,1.999089386,3.804,1.903,3.743
"100",100,10,0,0.5,0.00892857142857143,0.009070923083,0.008801936837,0.008690614956,0.009243681581,0,1.99978282,3.895,1.965,3.829
"101",101,15,0,0.5,0.00892857142857143,0.009040645348,0.009196687064,0.00875700312,0.009135361965,0,2.002512067,3.966,1.953,3.917
"102",102,20,0,0.5,0.00892857142857143,0.008995076623,0.00882238779,0.008891312964,0.009176473689,0,2.00102967,3.816,1.957,3.762
"103",103,25,0,0.5,0.00892857142857143,0.008745709763,0.008859550798,0.008595379701,0.009083598443,0,2.006777637,3.819,1.934,3.768
"104",104,30,0,0.5,0.00892857142857143,0.008615138801,0.00850345133,0.008605782264,0.008129985379,0,1.996291215,3.543,1.736,3.489
"105",105,0,0,0.6,0.00892857142857143,0.008829385317,0.008993093785,0.009123258929,0.009877722307,0.4986140657,2.07716999,4.005,2.108,3.957
