;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
118;2;7;0.2;0.5;1;18;101;0.5616438;207;214.7327;7;0;1
119;2;7;0.2;0.5;1;19;103;0.4600939;223;215.6505;7;2;0
120;2;7;0.2;0.5;1;20;103;0.4778325;202;215.2621;7;2;0
121;2;7;0.2;0.5;1;21;101;0.5657895;210;214.1485;7;0;1
122;2;7;0.2;0.5;1;22;105;0.5855856;212;215.6;7;4;1
123;2;7;0.2;0.5;1;23;101;0.4824561;203;214.5842;7;0;0
124;2;7;0.2;0.5;1;24;104;0.4809524;222;215.0481;7;3;0
125;2;7;0.2;0.5;1;25;102;0.3794872;228;216.098;7;1;0
126;2;7;0.2;0.5;1;26;102;0.5023256;220;215.1765;7;1;1
127;2;7;0.2;0.5;1;27;102;0.4845815;208;215.8137;7;1;0
128;2;7;0.2;0.5;1;28;101;0.4763948;199;215.0297;7;0;0
129;2;7;0.2;0.5;1;29;101;0.5450237;204;214.7525;7;0;1
130;2;7;0.2;0.5;1;30;102;0.5133929;218;215.9706;7;1;1
131;2;7;0.2;0.5;1;31;101;0.411215;228;214.9505;7;0;0
132;2;7;0.2;0.5;1;32;101;0.4881517;233;215.0099;7;0;0
133;2;7;0.2;0.5;1;33;101;0.4205607;218;215.0198;7;0;0
134;2;7;0.2;0.5;1;34;111;0.4955357;207;214.9009;7;10;0
135;2;7;0.2;0.5;1;35;102;0.5095238;212;214.3137;7;1;1
136;2;7;0.2;0.5;1;36;101;0.5570776;226;214.9208;7;0;1
137;2;7;0.2;0.5;1;37;101;0.5401786;224;215.099;7;0;1
138;2;7;0.2;0.5;1;38;114;0.4383562;215;215.3684;7;13;0
139;2;7;0.2;0.5;1;39;101;0.4492754;213;215.9802;7;0;0
140;2;7;0.2;0.5;1;40;102;0.5198238;198;214.6863;7;1;1
141;2;7;0.2;0.5;1;41;101;0.5357143;199;214.1881;7;0;1
142;2;7;0.2;0.5;1;42;101;0.5201794;220;215.0792;7;0;1
143;2;7;0.2;0.5;1;43;101;0.519802;214;215.6931;7;0;1
144;2;7;0.2;0.5;1;44;101;0.5196078;221;215.2475;7;0;1
145;2;7;0.2;0.5;1;45;101;0.5;213;214.0594;7;0;0
146;2;7;0.2;0.5;1;46;107;0.5242718;210;213.6449;7;6;1
147;2;7;0.2;0.5;1;47;101;0.4558824;215;215.5149;7;0;0
148;2;7;0.2;0.5;1;48;101;0.5217391;225;215.9109;7;0;1
149;2;7;0.2;0.5;1;49;101;0.5159817;204;215.3267;7;0;1
150;2;7;0.2;0.5;1;50;101;0.4266055;214;215.3366;7;0;0
151;2;7;0.2;0.5;1;51;105;0.6;215;214.8857;7;4;1
152;2;7;0.2;0.5;1;52;102;0.5418502;215;215.902;7;1;1
153;2;7;0.2;0.5;1;53;101;0.4813084;212;215.4554;7;0;0
154;2;7;0.2;0.5;1;54;101;0.4953271;208;215.4653;7;0;0
155;2;7;0.2;0.5;1;55;109;0.5193133;191;214.7798;7;8;1
156;2;7;0.2;0.5;1;56;105;0.4731707;211;215.8571;7;4;0
157;2;7;0.2;0.5;1;57;104;0.5517241;207;214.8558;7;3;1
158;2;7;0.2;0.5;1;58;102;0.4642857;216;215.7549;7;1;0
159;2;7;0.2;0.5;1;59;101;0.5201794;206;215.2772;7;0;1
160;2;7;0.2;0.5;1;60;102;0.4832536;209;215.4314;7;1;0
161;2;7;0.2;0.5;1;61;107;0.490566;203;214.9813;7;6;0
162;2;7;0.2;0.5;1;62;103;0.4766355;216;216.1553;7;2;0
163;2;7;0.2;0.5;1;63;105;0.4593301;207;215.7714;7;4;0
164;2;7;0.2;0.5;1;64;102;0.5235849;228;214.5686;7;1;1
165;2;7;0.2;0.5;1;65;103;0.4954545;208;215.4272;7;2;0
166;2;7;0.2;0.5;1;66;103;0.438914;207;214.8835;7;2;0
167;2;7;0.2;0.5;1;67;105;0.419214;205;215.2095;7;4;0
168;2;7;0.2;0.5;1;68;101;0.5323383;201;216.1584;7;0;1
169;2;7;0.2;0.5;1;69;101;0.4887892;218;215.1089;7;0;0
170;2;7;0.2;0.5;1;70;101;0.4019608;217;214.495;7;0;0
171;2;7;0.2;0.5;1;71;102;0.4792627;202;215.8725;7;1;0
172;2;7;0.2;0.5;1;72;102;0.5156951;198;216.1569;7;1;1
