;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
136;2;3;0.1;0.5;25;36;27;0.5512195;219;217.7037;3;1
137;2;3;0.1;0.5;25;37;26;0.4349776;245;220.5769;3;0
138;2;3;0.1;0.5;25;38;27;0.4807692;224;223.7778;3;1
139;2;3;0.1;0.5;25;39;31;0.5069767;236;224.4194;3;5
140;2;3;0.1;0.5;25;40;27;0.5258216;226;225.2222;3;1
141;2;3;0.1;0.5;25;41;27;0.5338983;230;221.1481;3;1
142;2;3;0.1;0.5;25;42;26;0.5082645;219;221.1154;3;0
143;2;3;0.1;0.5;25;43;27;0.487069;244;223.6296;3;1
144;2;3;0.1;0.5;25;44;29;0.5046296;229;223.0345;3;3
145;2;3;0.1;0.5;25;45;27;0.5147679;236;224.3333;3;1
146;2;3;0.1;0.5;25;46;26;0.457265;217;225.9615;3;0
147;2;3;0.1;0.5;25;47;27;0.4827586;229;222.0741;3;1
148;2;3;0.1;0.5;25;48;26;0.4478261;236;221.1538;3;0
149;2;3;0.1;0.5;25;49;27;0.443038;228;225.963;3;1
150;2;3;0.1;0.5;25;50;26;0.5764192;227;221.6923;3;0
151;2;3;0.1;0.5;25;51;27;0.5022624;222;226.3333;3;1
152;2;3;0.1;0.5;25;52;27;0.48;224;223.4074;3;1
153;2;3;0.1;0.5;25;53;26;0.4910714;225;220.6923;3;0
154;2;3;0.1;0.5;25;54;27;0.463964;216;225.0741;3;1
155;2;3;0.1;0.5;25;55;27;0.4847162;214;223.4815;3;1
156;2;3;0.1;0.5;25;56;26;0.4798206;229;222.6154;3;0
157;2;3;0.1;0.5;25;57;26;0.5399061;224;223.0385;3;0
158;2;3;0.1;0.5;25;58;28;0.4654378;225;227.7857;3;2
159;2;3;0.1;0.5;25;59;26;0.473029;221;222.8462;3;0
160;2;3;0.1;0.5;25;60;29;0.4977169;236;224.5862;3;3
161;2;3;0.1;0.5;25;61;27;0.5630631;226;219.4074;3;1
162;2;3;0.1;0.5;25;62;27;0.4766355;253;219.7407;3;1
163;2;3;0.1;0.5;25;63;27;0.5307018;243;225.7037;3;1
164;2;3;0.1;0.5;25;64;29;0.3973799;218;224.4828;3;3
165;2;3;0.1;0.5;25;65;27;0.4912281;223;226.1111;3;1
166;2;3;0.1;0.5;25;66;28;0.5173913;219;221.2143;3;2
167;2;3;0.1;0.5;25;67;36;0.4711111;233;226.7222;3;10
168;2;3;0.1;0.5;25;68;28;0.4956522;244;224.7143;3;2
169;2;3;0.1;0.5;25;69;26;0.5084746;224;222.6923;3;0
170;2;3;0.1;0.5;25;70;33;0.4978355;217;223.0606;3;7
171;2;3;0.1;0.5;25;71;28;0.5708333;228;226.2857;3;2
172;2;3;0.1;0.5;25;72;28;0.4408163;216;223.75;3;2
173;2;3;0.1;0.5;25;73;26;0.5545024;243;224.4231;3;0
174;2;3;0.1;0.5;25;74;26;0.4497608;244;221.3077;3;0
175;2;3;0.1;0.5;25;75;30;0.4929577;203;221.7;3;4
176;2;3;0.1;0.5;25;76;26;0.510101;232;223.0769;3;0
177;2;3;0.1;0.5;25;77;26;0.5133929;215;220.6538;3;0
178;2;3;0.1;0.5;25;78;26;0.5446429;211;224.6154;3;0
179;2;3;0.1;0.5;25;79;28;0.4893617;235;223.8929;3;2
180;2;3;0.1;0.5;25;80;26;0.4672131;216;222.3077;3;0
181;2;3;0.1;0.5;25;81;26;0.4741784;231;224.8462;3;0
182;2;3;0.1;0.5;25;82;26;0.4932127;223;223.4615;3;0
183;2;3;0.1;0.5;25;83;26;0.5128205;218;226.5769;3;0
184;2;3;0.1;0.5;25;84;27;0.4556452;229;225.8519;3;1
185;2;3;0.1;0.5;25;85;26;0.4841629;192;216.3462;3;0
