"","X","simu","n_obs","mutation_rate","c","initial_trait_frequency","replicate","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","nb_repro_last"
"161",NA,161,"0",0,"0.7",0.0133928571428571,NA,0.013331431771,0.013421109643,0.013366141629,0.4743582598,0.5008355641,NA
"162",NA,162,"1",0,"0.7",0.0133928571428571,NA,0.013159799565,0.013220928214,0.012954050153,0.2872634456,0.012819095597,NA
"163",NA,163,"5",0,"0.7",0.0133928571428571,NA,0.013043120491,0.012945430262,0.013286528242,0.281588481,4.4998489e-05,NA
"164",NA,164,"10",0,"0.7",0.0133928571428571,NA,0.013300065623,0.013192786114,0.013069924278,0.2759121371,0,NA
"165",NA,165,"15",0,"0.7",0.0133928571428571,NA,0.013233909533,0.013280417149,0.013707534951,0.2811911157,0,NA
"166",NA,166,"20",0,"0.7",0.0133928571428571,NA,0.013350212893,0.013515581595,0.013354564975,0.285503814,0,NA
"167",NA,167,"25",0,"0.7",0.0133928571428571,NA,0.013111541058,0.013028491435,0.01245519648,0.2820093039,0,NA
"168",NA,168,"30",0,"0.7",0.0133928571428571,NA,0.013719026001,0.013746699789,0.013805068295,0.2860781244,0,NA
"169",NA,169,"0",0,"0.8",0.0133928571428571,NA,0.013607595911,0.01360579492,0.013406251617,0.4690284527,0.5004035289,NA
"170",NA,170,"1",0,"0.8",0.0133928571428571,NA,0.01340779002,0.013334677793,0.01389236283,0.1936504003,0.013893963214,NA
"171",NA,171,"5",0,"0.8",0.0133928571428571,NA,0.013304139514,0.013489327502,0.013631888451,0.1872934675,5.0871131e-05,NA
"172",NA,172,"10",0,"0.8",0.0133928571428571,NA,0.013331961773,0.013378663588,0.013311825898,0.1878131072,0,NA
"173",NA,173,"15",0,"0.8",0.0133928571428571,NA,0.013287388138,0.013114524984,0.012712928214,0.1863277158,0,NA
"174",NA,174,"20",0,"0.8",0.0133928571428571,NA,0.013124757599,0.013249991824,0.013262827351,0.1894785249,0,NA
"175",NA,175,"25",0,"0.8",0.0133928571428571,NA,0.013574957265,0.013645913192,0.013359898973,0.1913526487,0,NA
"176",NA,176,"30",0,"0.8",0.0133928571428571,NA,0.013124052523,0.013398122377,0.013079980022,0.1900846241,0,NA
"177",NA,177,"0",0,"0.9",0.0133928571428571,NA,0.013613875601,0.013467343116,0.014009094332,0.4733568171,0.4989502393,NA
"178",NA,178,"1",0,"0.9",0.0133928571428571,NA,0.013859935196,0.013731536116,0.01334326238,0.10454301979,0.013257487212,NA
"179",NA,179,"5",0,"0.9",0.0133928571428571,NA,0.013529168327,0.013308417453,0.013300574243,0.09603402609,6.3088998e-05,NA
"180",NA,180,"10",0,"0.9",0.0133928571428571,NA,0.013409666152,0.013427039121,0.013933710992,0.09435591694,0,NA
"181",NA,181,"15",0,"0.9",0.0133928571428571,NA,0.013462189059,0.013306488006,0.013484207341,0.0936979065,0,NA
"182",NA,182,"20",0,"0.9",0.0133928571428571,NA,0.013392033478,0.013455367863,0.013793694386,0.09424563067,0,NA
"183",NA,183,"25",0,"0.9",0.0133928571428571,NA,0.013417288999,0.013333038265,0.01295072212,0.09276713498,0,NA
"184",NA,184,"30",0,"0.9",0.0133928571428571,NA,0.013380326899,0.013197199212,0.013217447607,0.09443114465,0,NA
"185",NA,185,"0",0,"1",0.0133928571428571,NA,0.01350220077,0.013563006005,0.013444149039,0.4771516665,0.5007832129,NA
"186",NA,186,"1",0,"1",0.0133928571428571,NA,0.013425621648,0.013577748424,0.013657810654,0.012740056369,0.013463344327,NA
"187",NA,187,"5",0,"1",0.0133928571428571,NA,0.013432832457,0.013476911932,0.013805198931,5.2244154e-05,5.1006912e-05,NA
"188",NA,188,"10",0,"1",0.0133928571428571,NA,0.013319957484,0.013137590375,0.013276053093,0,0,NA
"189",NA,189,"15",0,"1",0.0133928571428571,NA,0.013454392224,0.013498466155,0.013645612773,0,0,NA
"190",NA,190,"20",0,"1",0.0133928571428571,NA,0.013680892404,0.013558894546,0.013477032059,0,0,NA
"191",NA,191,"25",0,"1",0.0133928571428571,NA,0.013383356337,0.013237683202,0.013281632914,0,0,NA
"192",NA,192,"30",0,"1",0.0133928571428571,NA,0.013311414732,0.013541242775,0.013637317423,0,0,NA
"193",NA,193,"0",0,"0.5",0.0178571428571429,NA,0.017841804217,0.018003354286,0.01843543457,0.4876473981,0.5014616298,NA
"194",NA,194,"1",0,"0.5",0.0178571428571429,NA,0.017942202861,0.017615696259,0.017533147935,0.4939319016,0.017306978731,NA
"195",NA,195,"5",0,"0.5",0.0178571428571429,NA,0.017819431886,0.017675262121,0.017797048803,0.4906439092,9.4863944e-05,NA
"196",NA,196,"10",0,"0.5",0.0178571428571429,NA,0.017869347215,0.018085192909,0.018362959269,0.4874909539,0,NA
"197",NA,197,"15",0,"0.5",0.0178571428571429,NA,0.01783776218,0.017770239339,0.017846048529,0.4919544727,0,NA
"198",NA,198,"20",0,"0.5",0.0178571428571429,NA,0.017734629657,0.017581365938,0.01773018121,0.4892963789,0,NA
"199",NA,199,"25",0,"0.5",0.0178571428571429,NA,0.018073862547,0.018264649571,0.018249411212,0.4857849211,0,NA
"200",NA,200,"30",0,"0.5",0.0178571428571429,NA,0.018088942194,0.01766867732,0.018383164032,0.4899291065,0,NA
"201",NA,201,"0",0,"0.6",0.0178571428571429,NA,0.018101714378,0.01803613058,0.018590182134,0.487706247,0.4997946401,NA
"202",NA,202,"1",0,"0.6",0.0178571428571429,NA,0.017914604096,0.017804561639,0.017810382785,0.3918972746,0.017965877793,NA
"203",NA,203,"5",0,"0.6",0.0178571428571429,NA,0.018055698181,0.017736669317,0.017524643792,0.391799181,8.8492037e-05,NA
"204",NA,204,"10",0,"0.6",0.0178571428571429,NA,0.017941361011,0.018191938478,0.017904373639,0.3941560492,0,NA
"205",NA,205,"15",0,"0.6",0.0178571428571429,NA,0.01783936709,0.017976405418,0.017830523591,0.3934435924,0,NA
"206",NA,206,"20",0,"0.6",0.0178571428571429,NA,0.017942779434,0.017895615437,0.018206534649,0.3912056776,0,NA
"207",NA,207,"25",0,"0.6",0.0178571428571429,NA,0.017624745394,0.017608838463,0.017868650612,0.3925531383,0,NA
"208",NA,208,"30",0,"0.6",0.0178571428571429,NA,0.017713654734,0.017552542205,0.017566596844,0.3925645215,0,NA
"209",NA,209,"0",0,"0.7",0.0178571428571429,NA,0.017597578892,0.017602648098,0.017564177637,0.486246425,0.4992070869,NA
"210",NA,210,"1",0,"0.7",0.0178571428571429,NA,0.017975298185,0.017946336117,0.018165869391,0.3013111181,0.017896820251,NA
"211",NA,211,"5",0,"0.7",0.0178571428571429,NA,0.017860601259,0.018168400617,0.017328886127,0.2956114743,9.3740555e-05,NA
"212",NA,212,"10",0,"0.7",0.0178571428571429,NA,0.017784069307,0.017563107597,0.017796949912,0.2923281058,0,NA
"213",NA,213,"15",0,"0.7",0.0178571428571429,NA,0.017883498162,0.017862598959,0.018097687233,0.2968063193,0,NA
"214",NA,214,"20",0,"0.7",0.0178571428571429,NA,0.018051516199,0.018119573725,0.017868923559,0.2924504704,0,NA
"215",NA,215,"25",0,"0.7",0.0178571428571429,NA,0.017915269193,0.017894144004,0.018032837424,0.2942850767,0,NA
"216",NA,216,"30",0,"0.7",0.0178571428571429,NA,0.017885863674,0.017850529964,0.017691255918,0.2890424427,0,NA
"217",NA,217,"0",0,"0.8",0.0178571428571429,NA,0.017911271451,0.01784222556,0.017610684547,0.4888258289,0.499462526,NA
"218",NA,218,"1",0,"0.8",0.0178571428571429,NA,0.017693087703,0.017469542296,0.017228866185,0.2059421851,0.017477872576,NA
"219",NA,219,"5",0,"0.8",0.0178571428571429,NA,0.017925444699,0.018001522273,0.017504702078,0.19597135359,8.4349795e-05,NA
"220",NA,220,"10",0,"0.8",0.0178571428571429,NA,0.0178787555,0.018086080015,0.018038259761,0.1977568808,0,NA
"221",NA,221,"15",0,"0.8",0.0178571428571429,NA,0.017856919117,0.017576787585,0.018573238414,0.193154831,0,NA
"222",NA,222,"20",0,"0.8",0.0178571428571429,NA,0.017815649714,0.01774523632,0.017894655242,0.1944442428,0,NA
"223",NA,223,"25",0,"0.8",0.0178571428571429,NA,0.017822079107,0.018135995227,0.017680431769,0.1953128571,0,NA
"224",NA,224,"30",0,"0.8",0.0178571428571429,NA,0.017899721147,0.018051096625,0.017825836253,0.1948532345,0,NA
"225",NA,225,"0",0,"0.9",0.0178571428571429,NA,0.017912170819,0.017961966401,0.017986467513,0.4901073396,0.5007716076,NA
"226",NA,226,"1",0,"0.9",0.0178571428571429,NA,0.017712402378,0.018072822527,0.017889259417,0.1130012809,0.018073605858,NA
"227",NA,227,"5",0,"0.9",0.0178571428571429,NA,0.017613674013,0.017499235238,0.017506056243,0.09932592103,7.6274258e-05,NA
"228",NA,228,"10",0,"0.9",0.0178571428571429,NA,0.017806138479,0.017784502127,0.017465284777,0.09862425473,0,NA
"229",NA,229,"15",0,"0.9",0.0178571428571429,NA,0.018048158415,0.017739186791,0.018076573661,0.09821759409,0,NA
"230",NA,230,"20",0,"0.9",0.0178571428571429,NA,0.017484820649,0.017503924124,0.017680186756,0.09808721436,0,NA
"231",NA,231,"25",0,"0.9",0.0178571428571429,NA,0.017957095085,0.017833122374,0.018031276022,0.09783243974,0,NA
"232",NA,232,"30",0,"0.9",0.0178571428571429,NA,0.018029239989,0.018083847731,0.018718190271,0.096553794,0,NA
"233",NA,233,"0",0,"1",0.0178571428571429,NA,0.017502561976,0.017870684153,0.017285127466,0.4903311929,0.4985562282,NA
"234",NA,234,"1",0,"1",0.0178571428571429,NA,0.01775737412,0.017733752379,0.018281082424,0.018010164657,0.018549385987,NA
